id,lon,lat,stationType
260,-99.147742,19.435354,BIKE
261,-99.175196,19.423704,BIKE
262,-99.13395,19.43693,"BIKE,TPV"
263,-99.158425,19.436274,"BIKE,TPV"
264,-99.152935,19.440985,BIKE
265,-99.152265,19.440839,"BIKE,TPV"
266,-99.152187,19.444031,"BIKE,TPV"
267,-99.152203,19.443735,BIKE
268,-99.151586,19.442448,BIKE
269,-99.151658,19.442467,BIKE
270,-99.15387,19.43676,"BIKE,TPV"
271,-99.152465,19.442689,BIKE
272,-99.152491,19.443467,BIKE
273,-99.152956,19.442707,BIKE
274,-99.153289,19.442772,BIKE
275,-99.153164,19.441062,BIKE
276,-99.156366,19.401986,BIKE
277,-99.15909,19.401807,BIKE
278,-99.163831,19.40071,BIKE
279,-99.166553,19.399908,BIKE
280,-99.156406,19.4015,"BIKE,TPV"
281,-99.157308,19.398532,BIKE
282,-99.161273,19.398692,BIKE
283,-99.167383,19.39827,BIKE
284,-99.172981,19.397693,BIKE
285,-99.177524,19.399688,BIKE
286,-99.179943,19.399201,BIKE
287,-99.183254,19.398946,BIKE
288,-99.183575,19.396333,BIKE
289,-99.174548,19.397308,BIKE
290,-99.172667,19.396333,BIKE
291,-99.169946,19.397651,BIKE
292,-99.166264,19.396917,BIKE
293,-99.164598,19.397373,"BIKE,TPV"
294,-99.160924,19.396513,BIKE
295,-99.158756,19.394283,"BIKE,TPV"
296,-99.156871,19.396328,BIKE
297,-99.158907,19.394412,BIKE
298,-99.16214,19.394073,BIKE
299,-99.165054,19.394601,BIKE
300,-99.168333,19.393268,BIKE
301,-99.171133,19.393807,BIKE
302,-99.171466,19.393832,BIKE
303,-99.173025,19.394842,"BIKE,TPV"
304,-99.173821,19.395043,BIKE
305,-99.175531,19.394693,"BIKE,TPV"
306,-99.175664,19.393699,"BIKE,TPV"
307,-99.175834,19.393701,BIKE
308,-99.178178,19.393838,BIKE
309,-99.179598,19.393302,BIKE
310,-99.181733,19.395319,BIKE
311,-99.185391,19.393665,BIKE
312,-99.183737,19.392634,"BIKE,TPV"
313,-99.178989,19.391431,BIKE
314,-99.177331,19.391647,BIKE
315,-99.1736,19.391472,BIKE
316,-99.1712,19.391056,BIKE
317,-99.166157,19.391456,"BIKE,TPV"
318,-99.164127,19.392249,BIKE
319,-99.162684,19.391991,BIKE
320,-99.15936,19.391323,BIKE
321,-99.157513,19.389477,BIKE
322,-99.160616,19.388528,BIKE
323,-99.163403,19.389026,BIKE
324,-99.1656554,19.3872468,BIKE
325,-99.1696894,19.3881779,BIKE
326,-99.174811,19.388978,BIKE
327,-99.17772,19.38885,BIKE
328,-99.184863,19.392326,BIKE
329,-99.184812,19.390306,BIKE
330,-99.182606,19.389358,BIKE
331,-99.183971,19.388547,BIKE
332,-99.183809,19.385508,BIKE
333,-99.180978,19.387624,BIKE
334,-99.175089,19.386568,BIKE
335,-99.173504,19.387003,BIKE
336,-99.169673,19.385531,BIKE
337,-99.16704,19.384849,"BIKE,TPV"
338,-99.163273,19.384249,BIKE
339,-99.160548,19.386032,BIKE
340,-99.158188,19.385571,"BIKE,TPV"
341,-99.158204,19.382851,BIKE
342,-99.159455,19.381076,BIKE
343,-99.160826,19.384099,BIKE
344,-99.162243,19.382107,BIKE
345,-99.172223,19.384498,BIKE
346,-99.174077,19.385019,BIKE
347,-99.176097,19.384378,"BIKE,TPV"
348,-99.178216,19.385365,BIKE
349,-99.180857,19.385688,BIKE
350,-99.181482,19.384062,BIKE
351,-99.186297,19.385751,BIKE
352,-99.185447,19.384114,"BIKE,TPV"
353,-99.178808,19.382168,"BIKE,TPV"
354,-99.176685,19.381665,BIKE
355,-99.173291,19.38205,BIKE
356,-99.170171,19.381292,BIKE
357,-99.1669248,19.380598,BIKE
358,-99.164222,19.380168,BIKE
359,-99.161169,19.379269,"BIKE,TPV"
360,-99.1628259,19.3790279,BIKE
361,-99.1762233,19.3804457,BIKE
362,-99.181043,19.382207,BIKE
363,-99.183851,19.380813,BIKE
364,-99.185858,19.383063,BIKE
365,-99.186687,19.381117,BIKE
366,-99.181973,19.378345,BIKE
367,-99.181632,19.37946,BIKE
368,-99.179344,19.379246,BIKE
369,-99.177478,19.379884,"BIKE,TPV"
370,-99.177054,19.378818,BIKE
371,-99.174328,19.378542,BIKE
372,-99.170289,19.37797,"BIKE,TPV"
